Unnamed: 0,date,C,K,expiration_date,option_id,S,TTM,r,IV,delta,vega,initial_moneyness,delta_start
62877,2022-09-13,1.11,180.0,2022-11-18,AAPL_2022-11-18_K180,153.84,0.18082191780821918,0.0316391610655949,0.29194351025457776,0.12366460966929921,13.365673730402936,OTM,0.3391904007150067
62878,2022-09-14,1.18,180.0,2022-11-18,AAPL_2022-11-18_K180,155.31,0.1780821917808219,0.031461844676009,0.2856958512505698,0.13200726739603535,14.012332549976641,OTM,0.3391904007150067
62879,2022-09-15,0.92,180.0,2022-11-18,AAPL_2022-11-18_K180,152.37,0.17534246575342466,0.0307357792352157,0.29525430525773544,0.10703034475334589,11.76338553886002,OTM,0.3391904007150067
62880,2022-09-16,0.94,180.0,2022-11-18,AAPL_2022-11-18_K180,150.7,0.1726027397260274,0.0306775936367168,0.3148100320789407,0.10518814203976334,11.399320754697344,OTM,0.3391904007150067
62881,2022-09-19,0.99,180.0,2022-11-18,AAPL_2022-11-18_K180,154.48,0.1643835616438356,0.0306756540584586,0.29139496815945987,0.11655904612134105,12.27398968194429,OTM,0.3391904007150067
62882,2022-09-20,1.4,180.0,2022-11-18,AAPL_2022-11-18_K180,156.9,0.16164383561643836,0.0324129776322122,0.3000748417114282,0.15040471611623613,14.734460532037474,OTM,0.3391904007150067
62883,2022-09-21,1.15,180.0,2022-11-18,AAPL_2022-11-18_K180,153.72,0.1589041095890411,0.0320111326256839,0.3166990685622085,0.12574744046676234,12.666703772015518,OTM,0.3391904007150067
62884,2022-09-22,0.93,180.0,2022-11-18,AAPL_2022-11-18_K180,152.74,0.15616438356164383,0.0316091260748283,0.3108149287836,0.10834058518421075,11.226390539357146,OTM,0.3391904007150067
62885,2022-09-23,0.77,180.0,2022-11-18,AAPL_2022-11-18_K180,150.43,0.15342465753424658,0.0312767432112891,0.320582742100112,0.09206442128495135,9.730803053295169,OTM,0.3391904007150067
62886,2022-09-26,0.78,180.0,2022-11-18,AAPL_2022-11-18_K180,150.77,0.14520547945205478,0.0315732766791047,0.32758540621256177,0.09334920307225048,9.585714403231984,OTM,0.3391904007150067
62887,2022-09-27,0.88,180.0,2022-11-18,AAPL_2022-11-18_K180,151.76,0.14246575342465753,0.0324381480894541,0.3309589103557969,0.10263473081207569,10.245052423875473,OTM,0.3391904007150067
62888,2022-09-28,0.6,180.0,2022-11-18,AAPL_2022-11-18_K180,149.84,0.13972602739726028,0.0323597303464799,0.3225343988293895,0.07732222234520966,8.1147129463688,OTM,0.3391904007150067
62889,2022-09-29,0.33,180.0,2022-11-18,AAPL_2022-11-18_K180,142.48,0.136986301369863,0.0321573647990562,0.35247928743606954,0.0452465166808195,5.020529888025981,OTM,0.3391904007150067
62890,2022-09-30,0.21,180.0,2022-11-18,AAPL_2022-11-18_K180,138.2,0.13424657534246576,0.0318997494057897,0.36585744504090806,0.030578407430911076,3.500335648081268,OTM,0.3391904007150067
62891,2022-10-03,0.19,180.0,2022-11-18,AAPL_2022-11-18_K180,142.45,0.12602739726027398,0.0316478807326586,0.33439922842883096,0.030197395414048575,3.4596574508038715,OTM,0.3391904007150067
62892,2022-10-04,0.23,180.0,2022-11-18,AAPL_2022-11-18_K180,146.1,0.1232876712328767,0.0332858288239319,0.3161882474584375,0.036965657289896085,4.145330782441843,OTM,0.3391904007150067
62893,2022-10-05,0.25,180.0,2022-11-18,AAPL_2022-11-18_K180,146.4,0.12054794520547946,0.0330081860767742,0.32194452357793757,0.03946511521649434,4.332538964615116,OTM,0.3391904007150067
62894,2022-10-06,0.27,180.0,2022-11-18,AAPL_2022-11-18_K180,145.43,0.1178082191780822,0.0330807482420224,0.3393640216070124,0.041001399519250394,4.388691611115298,OTM,0.3391904007150067
62895,2022-10-07,0.19,180.0,2022-11-18,AAPL_2022-11-18_K180,140.09,0.11506849315068493,0.0330188288571718,0.37186506217226717,0.029111860135266992,3.1537627716759045,OTM,0.3391904007150067
62896,2022-10-10,0.18,180.0,2022-11-18,AAPL_2022-11-18_K180,140.42,0.10684931506849316,0.0330188288571718,0.3797636852013651,0.028074209538825296,2.9556159711164027,OTM,0.3391904007150067
62897,2022-10-11,0.15,180.0,2022-11-18,AAPL_2022-11-18_K180,138.98,0.10410958904109589,0.0336629898887475,0.3874827978805548,0.023961405304905762,2.529168321514037,OTM,0.3391904007150067
62898,2022-10-12,0.13,180.0,2022-11-18,AAPL_2022-11-18_K180,138.34,0.10136986301369863,0.0355003395995465,0.3902247859148548,0.021295560683951116,2.249048871688771,OTM,0.3391904007150067
62899,2022-10-13,0.18,180.0,2022-11-18,AAPL_2022-11-18_K180,142.99,0.09863013698630137,0.0362190974240674,0.3699513742579208,0.02922331688529147,2.9897356295796897,OTM,0.3391904007150067
62900,2022-10-14,0.13,180.0,2022-11-18,AAPL_2022-11-18_K180,138.38,0.0958904109589041,0.0364322135148013,0.4009880789333562,0.021307874146927485,2.1891216820486292,OTM,0.3391904007150067
62901,2022-10-17,0.11,180.0,2022-11-18,AAPL_2022-11-18_K180,142.41,0.08767123287671233,0.0369257741016697,0.3697698344060135,0.019930157330624143,2.0355798467536173,OTM,0.3391904007150067
62902,2022-10-18,0.09,180.0,2022-11-18,AAPL_2022-11-18_K180,143.75,0.08493150684931507,0.0384665827145428,0.3519982326412922,0.017470093266131824,1.8078425593587155,OTM,0.3391904007150067
62903,2022-10-19,0.11,180.0,2022-11-18,AAPL_2022-11-18_K180,143.86,0.0821917808219178,0.0389350954453499,0.36732485474425575,0.020420542597913125,2.032474152567508,OTM,0.3391904007150067
62904,2022-10-20,0.09,180.0,2022-11-18,AAPL_2022-11-18_K180,143.39,0.07945205479452055,0.0390303104124451,0.3677582979286786,0.017350270732383245,1.733953080858383,OTM,0.3391904007150067
62905,2022-10-21,0.1,180.0,2022-11-18,AAPL_2022-11-18_K180,147.27,0.07671232876712329,0.0386946132485307,0.34049764656790876,0.02021156006536933,1.9926485026822522,OTM,0.3391904007150067
62906,2022-10-24,0.1,180.0,2022-11-18,AAPL_2022-11-18_K180,149.45,0.0684931506849315,0.0392620584523988,0.33744965954273365,0.02110507029068641,1.9820537427121792,OTM,0.3391904007150067
62907,2022-10-25,0.13,180.0,2022-11-18,AAPL_2022-11-18_K180,152.34,0.06575342465753424,0.0398090016161473,0.32644130604403293,0.02742701494879515,2.4669825154003497,OTM,0.3391904007150067
62908,2022-10-26,0.1,180.0,2022-11-18,AAPL_2022-11-18_K180,149.35,0.06301369863013699,0.0393322453948681,0.3532710637885861,0.021044848646383736,1.895259260951599,OTM,0.3391904007150067
62909,2022-10-27,0.09,180.0,2022-11-18,AAPL_2022-11-18_K180,144.8,0.06027397260273973,0.0393034020421532,0.4072710086647693,0.017750127898086346,1.5550570620109003,OTM,0.3391904007150067
62910,2022-10-28,0.1,180.0,2022-11-18,AAPL_2022-11-18_K180,155.74,0.057534246575342465,0.0397878599874145,0.2964890783726745,0.0245395432913313,2.1495078697011683,OTM,0.3391904007150067
62911,2022-10-31,0.07,180.0,2022-11-18,AAPL_2022-11-18_K180,153.34,0.049315068493150684,0.0398580100364762,0.33245545423393014,0.017528355398172525,1.473662711836892,OTM,0.3391904007150067
62912,2022-11-01,0.05,180.0,2022-11-18,AAPL_2022-11-18_K180,150.65,0.04657534246575343,0.04060437084194,0.35855829296070757,0.0126390368095643,1.0621670900761666,OTM,0.3391904007150067
62913,2022-11-02,0.03,180.0,2022-11-18,AAPL_2022-11-18_K180,145.03,0.043835616438356165,0.0402768859755846,0.41309872033785366,0.007468169018913683,0.6264833843728852,OTM,0.3391904007150067
62914,2022-11-03,0.03,180.0,2022-11-18,AAPL_2022-11-18_K180,138.88,0.0410958904109589,0.0404219144989154,0.5036562001200854,0.006703744186680221,0.5280744416021467,OTM,0.3391904007150067
62915,2022-11-04,0.02,180.0,2022-11-18,AAPL_2022-11-18_K180,138.38,0.038356164383561646,0.040159695248503,0.5053548633082566,0.004773964577272404,0.3760508256941657,OTM,0.3391904007150067
62916,2022-11-07,0.02,180.0,2022-11-18,AAPL_2022-11-18_K180,138.92,0.030136986301369864,0.0399319985913454,0.5630405450162621,0.004809988448370681,0.3368847379971624,OTM,0.3391904007150067
62917,2022-11-08,0.02,180.0,2022-11-18,AAPL_2022-11-18_K180,139.5,0.0273972602739726,0.0410267735515979,0.5820154945540624,0.0048543619047534264,0.32519930366714916,OTM,0.3391904007150067
62918,2022-11-09,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,134.87,0.024657534246575342,0.0409970192025418,0.6421970118826884,0.0025401507576404245,0.1667468785706982,OTM,0.3391904007150067
62919,2022-11-10,0.02,180.0,2022-11-18,AAPL_2022-11-18_K180,146.87,0.021917808219178082,0.0407560723474364,0.5305363325281907,0.005556952266937471,0.3453748053616152,OTM,0.3391904007150067
62920,2022-11-11,0.02,180.0,2022-11-18,AAPL_2022-11-18_K180,149.7,0.019178082191780823,0.0407560723474364,0.5190595042145354,0.005910559339386306,0.34782691928523013,OTM,0.3391904007150067
62921,2022-11-14,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,148.28,0.010958904109589041,0.040801194303932,0.6697060737869782,0.003228242276523632,0.15171175355203176,OTM,0.3391904007150067
62922,2022-11-15,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,150.04,0.00821917808219178,0.0412503827489138,0.7306524793652025,0.003362689484395284,0.13791437809640592,OTM,0.3391904007150067
62923,2022-11-16,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,148.79,0.005479452054794521,0.0412954824071715,0.9327662315683425,0.0032634387267718363,0.1087005110242888,OTM,0.3391904007150067
62924,2022-11-17,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,150.72,0.0027397260273972603,0.0412657360524173,1.2382173726453285,0.0034143824947602437,0.08108995865753682,OTM,0.3391904007150067
62925,2022-11-18,0.01,180.0,2022-11-18,AAPL_2022-11-18_K180,151.29,0.0,0.0414509167072289,,,,OTM,0.3391904007150067
62926,2022-08-22,3.26,185.0,2022-11-18,AAPL_2022-11-18_K185,167.57,0.2410958904109589,0.0265805853452466,0.2673431752308409,0.26128984433707414,26.75664476798142,OTM,0.26128984433707414
62927,2022-08-23,2.97,185.0,2022-11-18,AAPL_2022-11-18_K185,167.23,0.23835616438356164,0.0271938720750327,0.2610090144284764,0.24891607487000073,25.884895172762462,OTM,0.26128984433707414
62928,2022-08-24,3.06,185.0,2022-11-18,AAPL_2022-11-18_K185,167.53,0.2356164383561644,0.0273417833635612,0.2631515473884224,0.2539033263887328,26.053623023540915,OTM,0.26128984433707414
62929,2022-08-25,3.4,185.0,2022-11-18,AAPL_2022-11-18_K185,170.03,0.2328767123287671,0.0274147578473357,0.2525316682293283,0.2812632411549749,27.68079938543126,OTM,0.26128984433707414
62930,2022-08-26,2.28,185.0,2022-11-18,AAPL_2022-11-18_K185,163.62,0.23013698630136986,0.027808728065365,0.2709779732073103,0.2031302786634367,22.18040430800162,OTM,0.26128984433707414
62931,2022-08-29,1.88,185.0,2022-11-18,AAPL_2022-11-18_K185,161.38,0.2219178082191781,0.0283561375826663,0.2772432867022146,0.17557049003882247,19.63737065535159,OTM,0.26128984433707414
62932,2022-08-30,1.25,185.0,2022-11-18,AAPL_2022-11-18_K185,158.91,0.2191780821917808,0.0287924892812789,0.26488284183512395,0.13286063273358595,15.976403859618276,OTM,0.26128984433707414
62933,2022-08-31,1.05,185.0,2022-11-18,AAPL_2022-11-18_K185,157.22,0.21643835616438356,0.0285903722995575,0.2673723687214041,0.11582398376509412,14.269521120579718,OTM,0.26128984433707414
